Time,KillerX,KillerY,KillerZ,VictimX,VictimY,VictimZ
1451429138,1439.276367,2593.543212,128.031250,1451.780517,2608.195312,128.031250
1451429140,1554.411010,2423.717773,128.031250,1554.411010,2423.717773,128.031250
1451429140,1701.437988,2223.442626,128.031250,1680.669921,2544.944091,128.031250
1451429140,6.407175,3120.760009,-127.968750,-276.807067,3254.330810,-127.968750
1451429141,1443.702636,2155.130615,384.031250,1390.120483,2190.036621,421.390136
1451429142,1487.863891,2571.334228,-127.968750,1460.566894,2237.747802,-127.968750
1451429144,1416.548095,2253.614257,128.031250,1514.670166,2507.020996,128.031250
1451429146,-73.417625,4228.780761,128.031250,48.503952,4206.236328,128.031250
1451429147,152.050399,3854.157226,-127.968750,-34.758171,4015.412109,-127.968750
1451429148,1734.500732,3403.335205,128.031250,1752.149169,2631.836669,130.943344
1451429150,252.438522,1519.418945,64.031250,308.768646,1722.858032,64.031250
1451429154,-398.915985,4268.664062,128.031250,37.162742,4023.233642,100.407714
1451429155,1667.717163,2558.475585,128.031250,1394.701782,2225.883300,128.031250
1451429156,589.603454,2490.452636,-84.960464,589.603454,2490.452636,-84.960464
1451429158,851.635070,3595.922119,128.031250,907.915588,3395.695800,128.031250
1451429161,626.228271,3243.724853,128.031250,873.404846,3464.081298,128.031250
1451429162,1347.131103,2425.324462,-127.968750,1541.219238,2695.552001,-127.968750
1451429165,1892.439086,3230.211669,128.031250,1837.218872,3411.614013,128.031250
1451429165,-136.683517,2088.014160,-39.769805,-178.570510,1888.632446,-79.968750
1451429168,1579.716186,2159.024169,-127.968750,1220.834838,2293.571289,-127.968750
1451429169,2151.994628,864.705871,96.031250,2151.982421,721.010192,96.031250
1451429169,132.083267,2146.331054,-127.968750,-0.170921,3077.985595,-127.968750
1451429171,249.304046,2394.891357,-127.968750,-140.454864,2039.896118,-79.968750
1451429172,1747.007324,2887.680664,128.031250,1717.629150,2237.221923,128.031250
1451429172,1635.848022,3174.823486,128.031250,1748.857055,2898.340820,128.031250
1451429174,502.451904,2118.480224,400.031250,844.219909,1114.805908,74.073158
1451429174,1637.793945,2456.863525,128.031250,1385.818847,2220.697509,128.031250
1451429176,1771.953735,2444.650878,128.031250,1817.923095,2226.954345,128.031250
1451429177,1691.995483,2708.905761,-127.968750,1938.760986,2726.549072,-127.968750
1451429178,1592.143798,2779.069824,384.031250,1591.247680,2791.968750,384.031250
1451429179,538.968750,2980.778564,400.031250,1407.031005,2764.861816,375.391571
1451429180,1544.585571,2708.032470,128.031250,1532.088745,2241.426757,128.031250
1451429181,537.613037,645.927062,64.031250,519.365722,502.272613,64.031250
1451429181,-387.351684,3861.191406,-127.968750,29.839361,4035.103027,-86.681900
1451429184,106.899879,1800.991455,-63.396770,27.560495,2142.811767,-127.968750
1451429184,1654.893310,2363.941894,139.026016,1957.754028,2107.577880,128.031250
1451429185,1002.438659,2316.542480,128.031250,1109.056884,2333.801025,128.031250
1451429186,56.816112,3230.823486,-127.968750,191.605041,3234.052734,-127.968750
1451429188,1271.377929,3411.819824,128.031250,757.272644,3450.635986,128.031250
1451429190,1107.606323,3383.461914,128.031250,732.221862,3198.420166,128.031250
1451429190,845.800170,2916.847656,-127.968750,729.773559,2922.018554,-127.968750
1451429191,1120.617431,3375.902587,128.031250,1113.505493,3345.394042,128.031250
1451429191,175.726394,3576.131835,-127.968750,-23.943420,3534.884277,-127.968750
1451429194,1917.233154,1431.878906,64.031250,1936.000000,1536.000000,64.031250
1451429197,1591.141235,2694.706542,-127.968750,1955.106323,2707.778076,-120.624069
1451429200,1958.628784,2773.031250,-127.968750,1953.907104,2682.188964,-127.968750
1451429200,1780.784423,2306.869140,128.031250,1631.687744,2065.309814,128.031250
1451429202,1567.004028,1723.898681,-127.968750,1542.901855,1774.700927,-127.968750
